date_str,datetime_minute,Anthrophony Sum,Avain Sum,Insect Sum,Geophony Sum,Silence Sum
20230924,2023/9/24 0:00,13.421052631578947,0,69.78947368421052,0,3.210526315789474
20230924,2023/9/24 0:10,24.105263157894736,0.05263157894736842,65.10526315789474,0,7.105263157894737
20230924,2023/9/24 0:20,17.157894736842106,0.05263157894736842,67.42105263157895,0,5.105263157894737
20230924,2023/9/24 0:30,19.42105263157895,0.3684210526315789,65.63157894736842,0,5.7894736842105265
20230924,2023/9/24 0:40,11.631578947368421,0.3157894736842105,64.94736842105263,0,8.894736842105264
20230924,2023/9/24 0:50,18.157894736842106,0.21052631578947367,65.89473684210526,0,6.578947368421052
20230924,2023/9/24 1:00,15.368421052631579,0.2631578947368421,66.26315789473684,0,6.578947368421052
20230924,2023/9/24 1:10,16.157894736842106,0,71,0,2.736842105263158
20230924,2023/9/24 1:20,19.36842105263158,0.3684210526315789,70.10526315789474,0,1.368421052631579
20230924,2023/9/24 1:30,22.31578947368421,0.42105263157894735,68.84210526315789,0,2.0526315789473686
20230924,2023/9/24 1:40,17.473684210526315,0.3684210526315789,68.36842105263158,0,3.6315789473684212
20230924,2023/9/24 1:50,19.63157894736842,0.42105263157894735,67.52631578947368,0,4.368421052631579
20230924,2023/9/24 2:00,25.736842105263158,0.5263157894736842,69.63157894736842,0,2.526315789473684
20230924,2023/9/24 2:10,17.736842105263158,0.3684210526315789,70.84210526315789,0,3.789473684210526
20230924,2023/9/24 2:20,20.42105263157895,0.10526315789473684,70.73684210526316,0,1.5789473684210527
20230924,2023/9/24 2:30,27.57894736842105,0.10526315789473684,69.63157894736842,0,3.263157894736842
20230924,2023/9/24 2:40,19.94736842105263,0.10526315789473684,72.26315789473684,0,1.736842105263158
20230924,2023/9/24 2:50,26.36842105263158,0.21052631578947367,71.52631578947368,0,1.2105263157894737
20230924,2023/9/24 3:00,15.263157894736842,0.05263157894736842,72.63157894736842,0,2.210526315789474
20230924,2023/9/24 3:10,19.210526315789473,0.10526315789473684,72.10526315789474,0,2
20230924,2023/9/24 3:20,18.526315789473685,0.42105263157894735,71.89473684210526,0,1.631578947368421
20230924,2023/9/24 3:30,18.736842105263158,0.15789473684210525,70.10526315789474,0,3.210526315789474
20230924,2023/9/24 3:40,19.894736842105264,0.21052631578947367,70,0,1.7894736842105263
20230924,2023/9/24 3:50,14.578947368421053,0.2631578947368421,73.52631578947368,0,0.2631578947368421
20230924,2023/9/24 4:00,16.473684210526315,0.5263157894736842,71.78947368421052,0.05263157894736842,1.736842105263158
20230924,2023/9/24 4:10,18.63157894736842,0.10526315789473684,67.36842105263158,0,3.263157894736842
20230924,2023/9/24 4:20,11.894736842105264,0.10526315789473684,70.3157894736842,0,3.9473684210526314
20230924,2023/9/24 4:30,13.052631578947368,0.2631578947368421,68.73684210526316,0,4.2631578947368425
20230924,2023/9/24 4:40,13.052631578947368,0.05263157894736842,67.78947368421052,0,4.578947368421052
20230924,2023/9/24 4:50,16.31578947368421,0.10526315789473684,67.42105263157895,0.05263157894736842,4.631578947368421
20230924,2023/9/24 5:00,14.947368421052632,0.05263157894736842,65.94736842105263,0,5.7368421052631575
20230924,2023/9/24 5:10,15.68421052631579,0.15789473684210525,67.21052631578948,0,5.631578947368421
20230924,2023/9/24 5:20,16.63157894736842,0.2631578947368421,67.26315789473684,0,5.105263157894737
20230924,2023/9/24 5:30,15.052631578947368,1.4210526315789473,68.78947368421052,0.05263157894736842,4.368421052631579
20230924,2023/9/24 5:40,13.842105263157896,4.157894736842105,63.63157894736842,0,7.947368421052632
20230924,2023/9/24 5:50,14.210526315789474,10.368421052631579,61.526315789473685,0.05263157894736842,8.631578947368421
20230924,2023/9/24 6:00,14.263157894736842,28.105263157894736,58,0,5.105263157894737
20230924,2023/9/24 6:10,16.105263157894736,28.105263157894736,54.73684210526316,0,7.368421052631579
20230924,2023/9/24 6:20,18.31578947368421,31.42105263157895,45.31578947368421,0,9.157894736842104
20230924,2023/9/24 6:30,20.736842105263158,23.68421052631579,41.73684210526316,0.10526315789473684,12.894736842105264
20230924,2023/9/24 6:40,23.63157894736842,25.263157894736842,42.526315789473685,0.05263157894736842,11.947368421052632
20230924,2023/9/24 6:50,21.736842105263158,29.63157894736842,40.78947368421053,0,14.157894736842104
20230924,2023/9/24 7:00,28.68421052631579,27.263157894736842,39.68421052631579,0.05263157894736842,11.789473684210526
20230924,2023/9/24 7:10,22,27.57894736842105,35.31578947368421,0.2631578947368421,13.789473684210526
20230924,2023/9/24 7:20,19,33.94736842105263,34.473684210526315,0,10.473684210526315
20230924,2023/9/24 7:30,18.42105263157895,38.526315789473685,37.05263157894737,0,14.68421052631579
20230924,2023/9/24 7:40,16.94736842105263,30.526315789473685,35.05263157894737,0.05263157894736842,18.263157894736842
20230924,2023/9/24 7:50,19.157894736842106,34.05263157894737,37.421052631578945,0,14.473684210526315
20230924,2023/9/24 8:00,19.68421052631579,39.21052631578947,40.94736842105263,0,9.68421052631579
20230924,2023/9/24 8:10,22.894736842105264,35.8421052631579,32.578947368421055,3.1578947368421053,10.31578947368421
20230924,2023/9/24 8:20,42.1578947368421,31.05263157894737,31.789473684210527,0.10526315789473684,10.157894736842104
20230924,2023/9/24 8:30,40.526315789473685,34.89473684210526,35.1578947368421,0.05263157894736842,8.157894736842104
20230924,2023/9/24 8:40,34.94736842105263,35.26315789473684,30.63157894736842,0.10526315789473684,12.052631578947368
20230924,2023/9/24 8:50,48.05263157894737,26.05263157894737,26.263157894736842,0.21052631578947367,7.105263157894737
